time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2025-03-18T17:15:56+01:00,0.005429,18.390625
2025-03-18T17:15:57+01:00,0.899770,18.996094
2025-03-18T17:15:58+01:00,1.173738,21.589844
2025-03-18T17:15:59+01:00,1.135054,21.847656
2025-03-18T17:16:00+01:00,1.228023,21.851562
2025-03-18T17:16:01+01:00,1.430430,23.894531
2025-03-18T17:16:02+01:00,1.198412,23.898438
2025-03-18T17:16:03+01:00,1.493768,23.695312
2025-03-18T17:16:04+01:00,1.186437,23.710938
2025-03-18T17:16:05+01:00,1.248808,23.718750
2025-03-18T17:16:06+01:00,1.262892,25.730469
2025-03-18T17:16:07+01:00,1.507800,25.734375
2025-03-18T17:16:08+01:00,1.319127,25.750000
2025-03-18T17:16:09+01:00,1.576296,26.003906
2025-03-18T17:16:10+01:00,1.607693,26.015625
2025-03-18T17:16:11+01:00,1.415711,26.027344
2025-03-18T17:16:12+01:00,1.680596,25.777344
2025-03-18T17:16:14+01:00,1.349993,26.039062
2025-03-18T17:16:15+01:00,1.511055,25.789062
2025-03-18T17:16:16+01:00,1.517281,25.789062
2025-03-18T17:16:17+01:00,1.404893,25.789062
2025-03-18T17:16:18+01:00,1.565811,27.796875
2025-03-18T17:16:19+01:00,1.379185,28.058594
2025-03-18T17:16:20+01:00,1.524244,27.812500
2025-03-18T17:16:21+01:00,1.429864,27.820312
2025-03-18T17:16:22+01:00,1.359167,27.820312
2025-03-18T17:16:23+01:00,1.446165,27.828125
2025-03-18T17:16:24+01:00,1.431400,27.828125
2025-03-18T17:16:25+01:00,1.201248,27.828125
2025-03-18T17:16:26+01:00,1.142068,27.832031
2025-03-18T17:16:27+01:00,1.597806,27.839844
2025-03-18T17:16:28+01:00,1.257094,27.835938
2025-03-18T17:16:29+01:00,1.415766,28.117188
2025-03-18T17:16:30+01:00,1.317122,27.878906
2025-03-18T17:16:31+01:00,1.484864,27.882812
2025-03-18T17:16:32+01:00,1.134490,27.917969
2025-03-18T17:16:33+01:00,1.331455,28.171875
2025-03-18T17:16:34+01:00,1.394785,27.988281
2025-03-18T17:16:35+01:00,1.643719,28.050781
2025-03-18T17:16:36+01:00,3.402744,28.101562
2025-03-18T17:16:37+01:00,1.629878,28.250000
2025-03-18T17:16:38+01:00,1.511558,29.113281
