time,msg-rate-per-second[postgres-to-kafka],msg-megabytes-in-per-second[postgres-to-kafka],msg-megabytes-out-per-second[postgres-to-kafka]
2025-03-18T17:22:34+01:00,11760.000000,0.259908,0.259908
2025-03-18T17:22:35+01:00,31098.028000,0.703879,0.703892
2025-03-18T17:22:36+01:00,34119.000000,0.780968,0.780945
2025-03-18T17:22:37+01:00,30000.000000,0.686646,0.686646
2025-03-18T17:22:38+01:00,30000.000000,0.686646,0.686646
2025-03-18T17:22:39+01:00,30000.000000,0.686646,0.686646
2025-03-18T17:22:40+01:00,40000.000000,0.915527,0.915527
2025-03-18T17:22:41+01:00,30000.000000,0.686646,0.686646
2025-03-18T17:22:42+01:00,30000.000000,0.686646,0.686646
2025-03-18T17:22:43+01:00,30000.000000,0.686646,0.686646
2025-03-18T17:22:44+01:00,30000.000000,0.686646,0.686646
2025-03-18T17:22:45+01:00,40000.000000,0.915527,0.915527
2025-03-18T17:22:46+01:00,20000.000000,0.457764,0.457764
2025-03-18T17:22:47+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:48+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:49+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:50+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:51+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:52+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:53+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:54+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:55+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:56+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:57+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:58+01:00,0.000000,0.000000,0.000000
2025-03-18T17:22:59+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:00+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:01+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:02+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:03+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:04+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:05+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:06+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:07+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:08+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:09+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:10+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:11+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:12+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:13+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:14+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:15+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:16+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:17+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:18+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:19+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:20+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:21+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:22+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:23+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:24+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:25+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:26+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:27+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:28+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:29+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:30+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:31+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:32+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:33+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:34+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:35+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:36+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:37+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:38+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:39+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:40+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:41+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:42+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:43+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:44+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:45+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:46+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:47+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:48+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:49+01:00,0.000000,0.000000,0.000000
2025-03-18T17:23:50+01:00,0.000000,0.000000,0.000000
